Total Loss,PDE Loss,IC1 Loss,IC2 Loss,BC Loss,lambda PDE,lambda IC1,lambda IC2,lambda BC,Learning Rate
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12229912484210234,1.0987272617057897e-05,0.1223570154979825,1.8195120219388627e-05,5.484297662405879e-05,6.989203448424104e-05,0.9993999780454136,0.00014803453590041488,0.0003820137402172127,0.00042899948349940653
0.12130550311493457,0.00011793740122811869,0.12159278988838196,2.633303370203066e-05,0.0004633947173715569,0.0007718570826742743,0.9959590950898615,0.0002043390521441966,0.003064626942583208,0.0005102269893368892
0.1153795858660044,0.002267496398417279,0.11825480964034796,4.892618534313442e-06,0.006837798864580691,0.013009681774895698,0.9462232983453058,0.00011826540980235551,0.04064867487987026,0.0006428580260095292
0.08718201202308955,0.003174431942170486,0.11410018149763346,0.0009862482475000434,0.015931103378534317,0.033589664220666206,0.8187474423037774,0.006251222961214096,0.14141159836373293,0.0008254388550170185
0.0812161102428347,0.00048523328950977884,0.1097359312698245,0.006290083925705403,0.0162726070266217,0.006248115171545619,0.7841122262301315,0.05297349770087256,0.15666608875033516,0.0010559682495936973
0.07775016402450223,0.005304350343067199,0.09152847621589899,0.022466438822448254,0.04545851657167077,0.02519520860442776,0.6490604888548986,0.10743729398683113,0.21830694151063254,0.0013319194296980644
0.054709717939115735,0.03064094902947545,0.07779535837471485,0.019923257175832987,0.020663995761424303,0.18734782912005077,0.5360065339690284,0.12474292607917216,0.1519026429828242,0.0016502677574716882
0.05189264189385289,0.025343838497065008,0.07399630360305309,0.02149274037219584,0.025822813855484128,0.1596739800111125,0.5190689613866878,0.14233352873209848,0.17892346058705594,0.002007523889603959
0.04855445919599436,0.021522340481169522,0.07279828749597073,0.017575972364284098,0.02536244923248887,0.15889903440626754,0.5260311865413395,0.13126048821055233,0.1838092185896706,0.0023997720232271603
0.04713519635368375,0.022169652278535068,0.06981582986190915,0.01599387323949486,0.026675067376345396,0.16452213708029834,0.5194375023849596,0.11999466021849994,0.1960456262588431,0.0028227128161373285
0.04488207128134324,0.02222407457884401,0.06614431831985712,0.014251743559725583,0.026838722173124552,0.1710373857009828,0.5126320358178001,0.11087735520673574,0.2054531463153539,0.0032717105109022057
0.04150175639594962,0.02201534784398973,0.06086264969781041,0.01175710093230009,0.02595669962465763,0.18054506875776527,0.5058399845424141,0.10016089221222363,0.2134539722444548,0.0037418437463396428
0.03645041873812754,0.021383924293331802,0.05223809788003564,0.011136262794025242,0.025298495311290026,0.194113030348991,0.48067326822997564,0.09913391692061262,0.22607969446847975,0.0042279594994334944
0.027836898127863424,0.019129853113554418,0.03983148722909391,0.010776398703455925,0.02069604815915227,0.2059790485219148,0.4439659207974058,0.12034091584786741,0.2297140068997769,0.0047247295664419615
0.022942602846285194,0.016528300009667873,0.03278495045378804,0.009543082676827908,0.018048765836283565,0.21850847523475916,0.4252141168311907,0.12206823771356289,0.2342090422547292,0.005226708964121847
0.019821920194049932,0.014135300763882697,0.028271821327507496,0.008407265529967844,0.01575382985174656,0.21295007250497194,0.424145947091666,0.12593710223426935,0.23696672947348557,0.0057283956109462665
0.01748115912757949,0.012490805354900658,0.0253551269415766,0.007681066985242069,0.012839962844736874,0.21439624619893233,0.43232634685741866,0.1309890226879012,0.22228821398641407,0.006224290634163599
0.015547409079265067,0.010027482290752232,0.02325175004079938,0.006350893585477024,0.00984929531114176,0.2036202493507868,0.46612204662078477,0.12837791355998093,0.20187959077729,0.006708958641685784
0.01455987126612271,0.00849199533695355,0.021755884401500225,0.005597786803264171,0.00834513211157173,0.19224900558451613,0.491632863781559,0.12674059229264853,0.1893773139659055,0.00717708729817957
0.013765442555713752,0.007683953444939107,0.020546148996800184,0.0052327031444292516,0.007472505385521799,0.18726907084430458,0.5015136613393831,0.12771035068794864,0.18350667463342413,0.007623545552360774
0.012918654410422722,0.007579867786262184,0.019239205750636756,0.004766567435581237,0.006471848872024566,0.19659903527085565,0.5053578210727626,0.1260183084722475,0.17202457451211037,0.00804343987727548
0.01145308032568155,0.007135365274734795,0.01694771321490407,0.004209144302876666,0.005875603703316301,0.2106830974176011,0.49854036725150414,0.12382304768232641,0.1669531951970554,0.008432167907131317
0.010492029664739057,0.0065684852888807654,0.015602980507537723,0.0034253686026204377,0.003746597474673763,0.2320384662236917,0.5125029685974692,0.121726978393795,0.13373125179072454,0.008785468882777737
0.009638424634853175,0.0066837535123340786,0.012854582397267222,0.0037293023196980357,0.00419728719862178,0.2293276819756901,0.48782689916762734,0.14199759716613344,0.1408474493361278,0.009099470352913913
0.00769901311741287,0.00452255253912881,0.011343651916831732,0.003519570571370423,0.0032849118870217353,0.20805979563054347,0.4981981853137607,0.15599209193031363,0.1377494932382769,0.009370730619142986
0.0071729219198182256,0.007187669747509062,0.009784272406250238,0.0025892156991176307,0.0050564908306114376,0.22876641938650238,0.421158846089524,0.12458510120976325,0.22548920209303544,0.009596276459642115
